,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
2,70234439,TV Show,Transformers Prime,,United States,2018,2013,TV-Y7-FV,1 Season,1,Kids' TV,Kids' TV,"With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron."
3,80058654,TV Show,Transformers: Robots in Disguise,,United States,2018,2016,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
5,80163890,TV Show,Apaches,,Spain,2017,2016,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel S_¡ez Carral.
8,80117902,TV Show,Fire Chasers,,United States,2017,2017,TV-MA,1 Season,1,"Docuseries, Science & Nature TV",Docuseries,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
26,80244601,TV Show,Castle of Stars,,,2018,2015,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
28,80190843,TV Show,First and Last,,,2018,2018,TV-MA,1 Season,1,Docuseries,Docuseries,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
34,80221550,TV Show,Archibald's Next Big Thing,,,2019,2019,TV-Y7,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
39,80178151,TV Show,The Spy,,France,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Dramas, TV Thrillers",International TV Shows,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
54,80113482,TV Show,No Tomorrow,,United States,2017,2016,TV-14,1 Season,1,"Romantic TV Shows, TV Comedies, TV Dramas",Romantic TV Shows,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom _ even though her man just might be an end-of-days crackpot."
61,80113641,TV Show,Frequency,,United States,2017,2016,TV-14,1 Season,1,"Crime TV Shows, TV Dramas, TV Mysteries",Crime TV Shows,"A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp."
